dance,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
318,543,-24.681,385,991,932,111,388,67.716,1
351,394,-22.557,462,994,895,175,381,134.199,1
169,413,-27.419,474,994,958,0.12,431,90.832,1
258,478,-26.069,505,993,902,113,859,65.37,1
331,0.23,-21.548,356,978,0.88,359,189,82.51,1
132,447,-20.733,401,983,925,0.13,388,89.704,1
204,281,-27.284,445,985,233,114,984,97.274,1
918,325,-26.707,494,995,864,109,393,68.958,1
827,134,-31.089,52,992,961,66,606,81.694,1
0.23,144,-21.34,408,0.94,869,395,229,142.163,1
398,996,-22.223,345,0.98,933,101,196,67.256,1
471,519,-16.87,408,993,976,863,336,72.931,1
412,357,-11.694,262,932,368,296,393,99.305,1
406,42,-19.736,546,934,691,192,197,94.292,1
451,0.17,-20.091,349,959,423,106,534,101.571,1
365,196,-14.108,349,904,968,831,588,77.88,1
434,262,-12.874,286,959,0.6,141,256,103.015,1
412,357,-11.694,262,932,368,296,393,99.305,1
0.64,494,-8.186,592,0.96,0.0,706,668,116.006,1
406,151,-35.799,651,996,917,946,281,134.251,1
497,428,-38.446,633,996,956,745,331,129.456,1
353,0.09,-22.722,373,995,895,996,126,73.523,1
337,837,-23.699,332,993,934,103,678,78.505,1
445,34,-32.774,448,991,976,113,329,76.042,1
369,283,-32.145,369,995,869,144,644,109.738,1
548,286,-25.688,565,996,917,108,137,76.971,1
396,248,-36.836,501,993,872,736,684,68.284,1
482,749,-25.391,426,994,836,118,0.2,70.276,1
454,107,-33.316,449,995,881,104,156,84.197,1
438,116,-21.333,545,994,898,983,541,80.724,1
355,168,-30.47,436,994,918,109,0.11,65.877,1
419,213,-23.095,357,961,899,237,0.36,97.708,1
294,623,-31.21,414,995,869,116,649,76.249,1
0.29,219,-22.958,362,0.96,612,514,635,139.681,1
441,391,-26.867,409,993,897,111,508,132.385,1
478,0.34,-17.711,491,882,784,678,563,106.376,1
476,186,-18.485,487,994,781,116,246,130.197,1
316,108,-20.37,416,994,898,957,615,84.996,1
424,261,-20.513,487,993,821,139,283,104.437,1
345,236,-21.922,401,989,952,228,0.38,135.677,1
345,24,-31.974,346,994,912,112,0.12,66.09,1
0.49,159,-24.625,111,905,296,119,294,47.78,1
175,869,-20.248,427,955,251,783,345,78.113,1
295,195,-22.43,457,994,916,205,496,131.893,1
376,129,-23.677,397,993,899,142,561,56.596,1
482,198,-23.52,561,995,808,152,755,153.773,1
689,766,-22.061,73,996,812,128,675,108.932,1
545,258,-35.331,348,989,901,143,321,59.504,1
445,316,-24.615,531,994,891,0.13,0.13,67.165,1
435,158,-20.203,368,995,876,152,211,59.74,1
409,964,-28.0,373,993,0.87,124,379,101.231,1
506,851,-21.881,525,995,872,0.13,128,123.424,1
555,153,-18.813,373,995,867,207,531,100.588,1
341,146,-21.088,324,994,901,149,343,79.824,1
331,0.23,-21.548,356,978,0.88,359,189,82.51,1
202,329,-26.269,453,968,569,842,374,72.341,1
372,278,-16.882,37,985,921,164,912,89.032,1
451,0.17,-20.091,349,959,423,106,534,101.571,1
0.23,144,-21.34,408,0.94,869,395,229,142.163,1
416,211,-18.044,537,994,828,114,0.28,149.94,1
379,237,-18.265,47,993,887,144,477,116.093,1
183,699,-30.087,39,952,965,124,728,134.455,1
434,262,-12.874,286,959,0.6,141,256,103.015,1
458,314,-11.769,263,913,968,0.15,382,99.377,1
0.48,578,-24.979,321,889,1.33e-06,258,353,102.494,1
451,0.17,-20.091,349,959,423,106,534,101.571,1
434,262,-12.874,286,959,0.6,141,256,103.015,1
677,176,-18.382,674,924,681,138,862,114.04,1
0.67,378,-6.312,311,835,0.0,999,479,102.968,1
268,108,-12.058,353,983,0.0,115,331,82.176,1
381,628,-6.933,505,0.18,0.0,208,516,77.361,1
304,902,-32.824,489,903,907,111,318,114.487,1
351,481,-2.719,485,697,0.0,327,777,199.258,1
553,413,-8.172,425,949,0.0,846,597,102.769,1
0.72,309,-7.625,333,936,0.0,132,669,96.695,1
576,671,-7.691,623,537,0.0,158,474,116.122,1
284,426,-12.29,385,984,659,216,665,76.365,1
457,428,-8.613,357,0.72,0.0,988,219,82.997,1
469,477,-9.399,401,995,0.89,0.41,0.6,84.425,1
415,0.36,-10.582,226,993,0.82,195,604,82.374,1
191,582,-25.398,578,961,0.89,941,454,132.614,1
475,503,-10.5,365,823,0.0,523,675,111.938,1
683,264,-9.791,336,899,0.0,141,549,101.052,1
375,0.24,-5.916,333,0.98,0.0,971,311,94.66,1
253,0.21,-10.948,373,947,7.09e-05,348,0.42,123.851,1
747,567,-8.188,436,545,0.0,163,453,107.021,1
0.34,465,-11.631,453,718,652,142,686,97.54,1
524,636,-7.238,34,782,535,662,827,153.114,1
564,296,-18.489,179,0.99,883,492,931,109.566,1
465,0.71,-10.862,821,271,509,874,749,102.876,1
225,117,-24.971,488,968,867,103,275,160.017,1
561,445,-16.71,579,784,0.87,918,519,125.695,1
186,432,-20.811,366,926,963,952,286,57.23,1
186,432,-20.811,366,926,963,952,286,57.23,1
163,368,-23.149,472,991,899,107,387,69.442,1
214,328,-13.545,377,945,8.92e-05,105,114,89.521,1
334,187,-20.906,415,884,797,105,836,112.135,1
311,465,-24.625,426,985,882,144,368,68.431,1
351,76,-31.649,401,0.98,945,121,764,130.107,1
223,375,-25.525,441,0.99,934,102,459,68.486,1
0.13,286,-19.418,383,0.96,322,326,104,46.496,1
285,464,-38.222,435,995,844,582,216,72.32,1
0.29,191,-30.885,35,985,909,994,622,65.461,1
285,158,-24.312,483,947,466,126,369,119.852,1
344,965,-21.096,394,952,866,946,292,84.326,1
317,56,-34.478,393,991,933,131,127,65.873,1
238,568,-26.529,409,984,0.91,953,335,68.981,1
346,219,-18.842,319,993,732,383,542,88.687,1
343,334,-19.391,0.04,977,272,343,266,130.9,1
311,278,-21.328,409,0.97,336,239,184,122.559,1
167,133,-26.88,822,774,692,729,204,142.844,1
713,696,-39.507,405,994,915,71,977,213.848,1
316,108,-20.37,416,994,898,957,615,84.996,1
175,869,-20.248,427,955,251,783,345,78.113,1
394,578,-21.723,445,995,921,835,432,65.106,1
393,217,-16.611,354,993,893,111,177,114.404,1
398,292,-26.388,501,988,0.81,789,392,126.323,1
0.43,341,-24.869,565,0.81,531,109,158,157.791,1
184,527,-37.264,432,995,887,173,151,170.612,1
367,836,-4.875,135,797,963,216,503,68.144,1
387,449,-7.792,334,955,191,387,533,133.927,1
272,614,-10.694,375,616,927,106,558,160.8,1
707,606,-9.232,89,615,0.0,896,918,89.911,1
372,833,-7.073,0.11,861,682,295,582,128.171,1
559,448,-8.374,46,944,0.0,245,758,108.72,1
567,0.29,-8.571,788,807,0.0,527,808,101.045,1
618,775,-10.07,553,768,1.14e-06,282,857,122.178,1
295,546,-10.656,477,879,556,373,724,185.761,1
485,293,-30.251,31,991,902,964,423,80.014,1
485,293,-30.251,31,991,902,964,423,80.014,1
365,289,-27.855,419,995,947,0.12,477,146.853,1
485,293,-30.251,31,991,902,964,423,80.014,1
0.15,106,-18.592,426,842,835,111,553,83.844,1
318,318,-6.224,346,929,6.5e-05,201,216,96.803,1
176,162,-18.922,362,988,913,0.12,183,58.879,1
506,853,-9.989,488,5.61e-05,97,347,594,145.691,1
232,246,-12.142,366,976,902,0.13,183,103.736,1
287,482,-9.074,391,909,0.3,181,399,122.567,1
149,553,-6.576,412,906,719,637,369,178.113,1
234,136,-18.882,458,0.97,281,108,374,85.418,1
198,503,-6.376,336,971,783,127,147,91.442,1
336,485,-11.719,52,949,937,844,546,125.921,1
377,193,-18.928,449,987,0.9,884,285,153.373,1
229,0.45,-8.16,374,969,383,106,139,114.808,1
319,541,-20.544,388,949,537,929,0.1,129.399,1
969,0.18,-18.797,484,0.79,579,215,978,74.24,1
263,756,-36.964,543,995,935,936,394,50.681,1
212,106,-20.938,433,969,376,937,398,83.746,1
0.16,465,-8.577,337,939,229,383,0.14,84.69,1
211,0.07,-24.816,451,987,169,965,529,86.921,1
458,231,-16.326,376,855,885,75,232,146.337,1
302,437,-21.963,433,957,646,0.1,819,118.809,1
256,516,-9.279,449,988,921,746,193,75.54,1
158,0.21,-16.398,33,953,0.86,153,193,80.984,1
0.18,351,-10.22,343,988,866,137,606,101.159,1
287,372,-25.063,541,981,774,514,393,86.551,1
232,235,-14.975,404,955,122,896,973,113.492,1
148,367,-21.648,413,989,828,114,666,138.57,1
142,261,-10.312,35,994,781,0.29,0.12,63.399,1
192,227,-32.377,397,989,0.9,778,354,68.257,1
383,155,-29.576,463,994,901,956,641,71.935,1
389,206,-16.943,354,948,344,967,275,81.968,1
373,102,-24.802,525,995,867,196,325,152.04,1
431,218,-18.009,42,976,268,143,0.49,147.561,1
104,491,-22.883,46,984,0.51,99,341,90.278,1
0.24,984,-19.874,503,982,384,854,0.18,122.741,1
182,436,-20.946,358,908,0.82,112,391,100.533,1
325,0.15,-24.599,172,961,607,657,174,90.284,1
239,287,-12.565,388,876,644,122,185,71.608,1
457,474,-9.245,324,0.93,956,679,381,92.404,1
306,387,-12.526,357,561,0.0,107,295,122.587,1
576,274,-14.045,297,953,167,267,0.46,93.754,1
343,399,-17.367,533,991,136,133,731,105.118,1
257,374,-7.133,28,946,3.33e-06,0.3,268,136.999,1
504,565,-9.185,516,724,0.0,565,528,124.454,1
403,775,-7.406,607,671,635,79,207,180.079,1
349,495,-12.433,918,991,684,353,608,95.758,1
431,807,-29.783,459,995,932,112,334,77.745,1
335,473,-12.607,58,977,251,218,0.59,94.746,1
595,657,-5.418,298,735,0.0,387,782,102.321,1
575,326,-8.55,812,971,0.0,0.38,324,125.554,1
296,566,-6.349,576,733,0.0,0.74,602,172.14,1
467,526,-11.977,366,476,0.0,933,0.52,86.902,1
0.14,217,-15.304,352,909,855,689,78,88.381,1
317,161,-17.203,374,916,881,979,545,118.162,1
657,301,-12.549,766,949,0.0,0.28,794,100.971,1
275,157,-18.752,636,0.89,842,186,304,73.289,1
517,713,-8.39,614,607,9.81e-06,145,0.8,100.214,1
498,319,-9.576,262,672,106,952,211,82.955,1
303,108,-27.433,473,994,877,805,0.18,126.931,1
646,897,-19.288,306,989,912,0.11,546,82.003,1
403,185,-20.519,417,962,911,958,162,104.517,1
819,132,-25.217,494,964,647,0.12,32,82.637,1
318,361,-21.792,445,907,302,926,625,99.889,1
442,286,-16.598,419,968,811,886,629,146.761,1
287,0.19,-16.959,379,941,369,906,177,77.583,1
515,695,-22.837,342,992,934,943,109,112.81,1
168,442,-18.784,371,908,914,694,384,74.591,1
876,217,-24.314,426,975,909,0.12,778,81.32,1
233,911,-5.114,0.08,3.34e-05,258,344,197,199.851,1
347,312,-30.669,532,992,101,767,877,88.69,1
194,145,-23.039,557,967,717,0.35,37,80.3,1
261,214,-30.245,603,948,0.0,106,761,83.335,1
0.18,114,-28.877,413,928,0.79,121,159,112.793,1
287,391,-25.598,44,963,873,105,614,119.842,1
402,481,-25.898,337,974,833,997,175,103.346,1
308,569,-20.515,706,991,105,189,394,73.698,1
364,104,-21.888,424,979,4.97e-06,723,147,125.517,1
363,911,-22.805,389,969,874,162,228,77.37,1
472,0.27,-23.245,92,831,789,552,467,150.013,1
377,17,-30.852,453,0.95,0.0,181,211,103.907,1
594,852,-20.606,533,994,937,101,626,127.091,1
199,419,-21.765,461,734,0.55,108,121,169.307,1
572,144,-23.133,576,995,969,109,536,123.784,1
375,145,-18.732,361,963,889,128,329,77.903,1
528,143,-20.056,437,964,897,623,423,136.278,1
375,145,-18.732,361,963,889,128,329,77.903,1
375,145,-18.732,361,963,889,128,329,77.903,1
199,319,-14.43,334,513,893,144,462,120.772,1
0.41,196,-15.956,383,953,892,974,622,78.823,1
0.48,233,-9.407,331,876,1.97e-06,896,136,120.074,1
441,499,-6.558,378,0.97,151,447,514,128.364,1
464,663,-6.284,141,857,272,387,782,85.901,1
428,0.58,-8.569,356,343,3.3e-05,0.12,478,83.429,1
323,105,-21.784,339,936,929,108,186,167.407,1
434,265,-18.025,58,995,0.87,218,607,131.532,1
689,638,-2.467,379,707,0.0,197,925,136.884,1
416,477,-1.383,0.04,631,0.0,344,704,164.972,1
231,297,-31.544,579,991,878,742,0.07,131.413,1
543,311,-11.237,87,991,109,821,624,107.767,1
487,373,-16.523,288,648,0.0,144,552,84.121,1
0.25,0.29,-16.253,333,885,0.0,653,452,75.157,1
411,638,-4.307,576,925,206,146,336,175.222,1
497,0.34,-9.616,269,0.67,7.62e-05,101,172,82.995,1
708,608,-4.667,267,854,881,346,549,135.046,1
421,118,-17.703,408,842,938,115,175,104.03,1
225,47,-30.928,509,992,881,722,186,163.665,1
153,953,-4.74,122,152,62,366,0.14,199.892,1
469,522,-10.53,854,0.93,38,712,713,100.716,1
468,127,-36.856,123,994,937,94,356,72.776,1
577,563,-9.107,319,863,186,0.19,785,147.562,1
409,191,-31.753,324,992,912,981,181,104.164,1
268,124,-28.777,358,0.99,922,788,726,70.582,1
366,467,-20.623,375,927,8.87e-05,194,0.35,81.945,1
302,96,-28.927,309,972,903,98,382,94.275,1
0.56,519,-22.616,423,0.99,905,117,182,132.691,1
302,96,-28.927,309,972,903,98,382,94.275,1
302,96,-28.927,309,972,903,98,382,94.275,1
126,499,-22.935,393,648,887,141,115,96.29,1
302,96,-28.927,309,972,903,98,382,94.275,1
159,879,-23.347,429,701,888,819,434,56.139,1
0.23,103,-20.868,326,741,712,125,239,80.266,1
173,296,-28.601,45,828,793,109,102,120.805,1
128,194,-26.714,403,826,398,133,576,87.224,1
401,397,-13.777,385,989,775,227,903,75.695,1
113,151,-16.28,418,627,857,112,365,83.543,1
444,317,-18.349,355,744,927,323,921,144.238,1
192,91,-21.512,443,925,0.73,119,129,113.15,1
813,533,-23.481,417,886,844,913,356,83.586,1
192,91,-21.512,443,925,0.73,119,129,113.15,1
147,117,-21.873,412,868,732,346,713,90.476,1
332,491,-11.546,437,899,938,0.25,0.41,109.06,1
147,117,-21.873,412,868,732,346,713,90.476,1
192,91,-21.512,443,925,0.73,119,129,113.15,1
192,91,-21.512,443,925,0.73,119,129,113.15,1
149,281,-22.963,397,0.86,549,958,42,137.501,1
147,117,-21.873,412,868,732,346,713,90.476,1
147,117,-21.873,412,868,732,346,713,90.476,1
421,637,-10.072,764,848,7.74e-05,298,514,123.427,1
664,564,-8.892,576,626,0.0,984,913,90.536,1
596,489,-7.876,53,403,0.0,219,276,147.977,1
333,417,-8.64,313,958,939,106,141,75.472,1
528,292,-16.821,311,835,605,178,413,135.92,1
663,484,-7.175,68,776,0.0,135,764,125.288,1
598,187,-15.965,346,503,0.0,231,519,75.02,1
567,606,-8.656,611,943,0.0,129,969,139.848,1
432,109,-15.925,368,889,772,939,797,92.682,1
367,103,-27.538,392,0.98,951,0.11,412,64.925,1
494,702,-7.064,33,584,951,735,886,100.455,1
427,336,-12.126,356,983,774,214,506,109.602,1
476,416,-14.3,525,988,0.2,163,724,76.54,1
348,169,-18.45,413,959,889,0.1,107,138.877,1
507,587,-11.814,146,798,4.48e-06,236,577,156.987,1
411,568,-7.356,412,388,9.18e-06,106,431,94.952,1
414,328,-19.644,661,0.86,828,164,0.79,145.715,1
447,0.31,-9.668,39,949,0.0,141,288,123.113,1
703,467,-7.498,335,653,0.0,96,565,131.915,1
