dance,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
595,318,7,-7.181,36,951,1.11e-06,0.28,536,112.718,4,1
0.85,532,1,-6.854,576,768,0.0,358,866,120.905,4,1
574,414,9,-7.16,495,842,0.0,172,867,77.968,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
469,199,5,-12.5,316,889,0.0,115,0.21,112.185,3,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
499,339,8,-8.929,61,917,0.0,784,656,116.269,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
0.85,532,1,-6.854,576,768,0.0,358,866,120.905,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
499,339,8,-8.929,61,917,0.0,784,656,116.269,4,1
422,108,5,-16.835,376,971,0.0,101,263,71.872,4,1
665,443,0,-8.076,803,582,0.0,113,662,122.872,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
516,491,0,-9.682,778,617,0.0,149,788,110.526,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
415,212,8,-15.848,318,785,0.0,325,338,92.988,4,1
579,502,8,-7.57,513,733,0.0,281,836,76.783,4,1
626,248,11,-12.898,61,827,0.0,965,639,80.542,4,1
258,175,0,-11.903,323,939,156,136,107,89.072,3,1
422,108,5,-16.835,376,971,0.0,101,263,71.872,4,1
596,315,8,-9.175,428,961,0.0,258,0.64,119.935,4,1
415,212,8,-15.848,318,785,0.0,325,338,92.988,4,1
0.85,532,1,-6.854,576,768,0.0,358,866,120.905,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
0.45,0.25,0,-8.333,96,909,0.0,131,377,82.108,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
638,767,10,-13.98,588,937,0.0,121,599,114.353,4,1
593,287,1,-12.472,469,764,0.0,153,639,77.117,4,1
566,402,8,-9.43,319,706,6.82e-05,102,125,162.202,3,1
283,264,4,-19.612,426,925,0.0,136,231,170.182,3,1
