genre,dance,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,liveness,key,mode
classical,0.327,0.0055,-33.208,0.0426,0.986,0.0403,0.0891,107.052,0.133,8,1
classical,0.398,0.0294,-27.708,0.0388,0.995,0.913,0.0629,76.355,0.0475,2,0
classical,0.403,0.104,-23.741,0.0348,0.992,0.961,0.167,134.918,0.134,3,1
classical,0.122,0.029,-26.627,0.0419,0.971,0.069,0.0364,81.547,0.123,6,1
classical,0.243,0.00395,-34.378,0.0341,0.973,0.875,0.193,67.057,0.0775,7,0
classical,0.291,0.0341,-27.103,0.0367,0.992,0.893,0.163,69.814,0.117,1,0
classical,0.287,0.0937,-20.273,0.0277,0.986,0.866,0.167,85.935,0.0885,1,1
classical,0.163,0.0114,-35.363,0.0449,0.995,0.875,0.281,61.763,0.116,7,1
classical,0.302,0.0372,-28.311,0.0434,0.995,0.886,0.134,177.82,0.075,10,1
classical,0.296,0.0773,-25.922,0.0405,0.994,0.904,0.0914,77.443,0.0818,6,0
classical,0.386,0.00246,-28.015,0.0883,0.995,0.85,0.0441,72.317,0.101,5,0
classical,0.242,0.00564,-34.32,0.0447,0.989,0.873,0.0931,72.699,0.0744,1,0
classical,0.463,0.056,-23.791,0.0442,0.99,0.907,0.115,159.915,0.0695,9,0
classical,0.234,0.0216,-30.124,0.0436,0.995,0.898,0.0492,73.639,0.0702,5,1
classical,0.524,0.25,-15.415,0.0411,0.941,0.928,0.645,109.991,0.266,0,0
classical,0.358,0.0144,-30.311,0.0362,0.992,0.88,0.0649,59.068,0.069,3,1
classical,0.322,0.00597,-32.227,0.0459,0.995,0.928,0.0393,69.919,0.0686,1,1
classical,0.317,0.0951,-22.348,0.0518,0.982,0.542,0.71,83.291,0.222,6,1
classical,0.209,0.0358,-24.723,0.0451,0.991,0.916,0.0312,67.714,0.0806,8,1
classical,0.189,0.0627,-24.534,0.0366,0.991,0.933,0.0394,62.016,0.0943,0,0
classical,0.501,0.0154,-24.874,0.0609,0.989,0.949,0.0394,65.82,0.132,8,1
classical,0.54,0.209,-16.648,0.0449,0.915,0.0361,0.836,110.494,0.281,4,1
classical,0.358,0.00343,-38.916,0.0475,0.992,0.854,0.0482,58.045,0.0716,2,0
classical,0.217,0.0098,-31.274,0.0468,0.995,0.899,0.107,64.796,0.0645,7,0
classical,0.48,0.0274,-24.966,0.0495,0.971,0.943,0.215,160.56,0.101,6,1
classical,0.148,0.0294,-28.633,0.0395,0.979,0.927,0.0371,90.814,0.1,4,1
